name,euc_dist,L1_dist,X2_distance,histogram_similarity,hellinger_kernel
bbdd_00256.pkl-bbdd_00254.pkl,0.11737721,0.9969454,193.01033,0.5015273,0.8027817
bbdd_00256.pkl-bbdd_00019.pkl,0.12815365,1.2949736,155.45122,0.35251316,0.64965606
bbdd_00256.pkl-bbdd_00171.pkl,0.09561004,0.8449104,99.15404,0.5775448,0.87745833
bbdd_00256.pkl-bbdd_00137.pkl,0.07824815,0.9690275,121.564835,0.51548624,0.8433135
bbdd_00256.pkl-bbdd_00164.pkl,0.11615664,1.2377512,201.31161,0.38112435,0.64755875
bbdd_00256.pkl-bbdd_00285.pkl,0.08056737,0.87125784,152.0198,0.5643711,0.8323855
bbdd_00256.pkl-bbdd_00238.pkl,0.0684663,0.66986954,149.9227,0.6650652,0.88983566
bbdd_00256.pkl-bbdd_00041.pkl,0.10994956,1.4194785,179.45659,0.29026073,0.659787
bbdd_00256.pkl-bbdd_00244.pkl,0.0609523,0.7062043,109.11716,0.6468978,0.91015685
bbdd_00256.pkl-bbdd_00162.pkl,0.059255145,0.6670592,126.13364,0.6664704,0.89868355
bbdd_00256.pkl-bbdd_00186.pkl,0.13188788,1.5765462,172.67738,0.21172695,0.50475323
bbdd_00256.pkl-bbdd_00269.pkl,0.11614113,1.2624087,172.35292,0.36879563,0.71143866
bbdd_00256.pkl-bbdd_00152.pkl,0.079286136,1.0320183,139.3707,0.48399082,0.8376802
bbdd_00256.pkl-bbdd_00040.pkl,0.109082,1.4365978,181.32797,0.2817011,0.6675933
bbdd_00256.pkl-bbdd_00249.pkl,0.07181129,0.8688122,136.29749,0.56559396,0.85394657
bbdd_00256.pkl-bbdd_00192.pkl,0.061908916,0.7621113,113.8971,0.61894435,0.89534354
bbdd_00256.pkl-bbdd_00108.pkl,0.1198696,1.5242977,194.07422,0.23785113,0.60128784
bbdd_00256.pkl-bbdd_00059.pkl,0.07159337,0.8203712,122.4946,0.5898144,0.8852355
bbdd_00256.pkl-bbdd_00268.pkl,0.13942866,1.2494227,160.21164,0.37528875,0.725329
bbdd_00256.pkl-bbdd_00235.pkl,0.07489115,0.8383541,103.51524,0.58082294,0.85843635
bbdd_00256.pkl-bbdd_00275.pkl,0.08030342,1.0222366,135.51294,0.4888817,0.83128476
bbdd_00256.pkl-bbdd_00126.pkl,0.066126905,0.75377893,117.77454,0.62311053,0.88468707
bbdd_00256.pkl-bbdd_00282.pkl,0.064042434,0.689014,133.24579,0.65549296,0.90449554
bbdd_00256.pkl-bbdd_00258.pkl,0.1265897,1.4182715,180.27057,0.29086423,0.5783299
bbdd_00256.pkl-bbdd_00003.pkl,0.062619165,0.8323587,131.9607,0.58382064,0.8687595
bbdd_00256.pkl-bbdd_00131.pkl,0.057239957,0.6345279,75.44548,0.682736,0.91908133
bbdd_00256.pkl-bbdd_00228.pkl,0.09097023,1.2398899,161.47023,0.3800551,0.7535627
bbdd_00256.pkl-bbdd_00191.pkl,0.09103515,1.1580539,158.63338,0.42097306,0.7760045
bbdd_00256.pkl-bbdd_00216.pkl,0.07596038,0.64831036,71.09686,0.6758448,0.922761
bbdd_00256.pkl-bbdd_00099.pkl,0.079185426,0.84633124,104.157295,0.57683444,0.86003613
bbdd_00256.pkl-bbdd_00031.pkl,0.04702554,0.5079239,94.198975,0.746038,0.9434548
bbdd_00256.pkl-bbdd_00127.pkl,0.07506286,0.9499494,133.21194,0.52502537,0.8449046
bbdd_00256.pkl-bbdd_00165.pkl,0.15204185,1.5647902,174.45657,0.21760485,0.53736806
bbdd_00256.pkl-bbdd_00114.pkl,0.11382525,1.3223987,169.72723,0.33880064,0.66181034
bbdd_00256.pkl-bbdd_00069.pkl,0.053940177,0.5560576,82.06701,0.7219712,0.92756534
bbdd_00256.pkl-bbdd_00061.pkl,0.07096464,0.8967276,128.37894,0.5516362,0.85232496
bbdd_00256.pkl-bbdd_00006.pkl,0.13758022,1.4629272,185.62161,0.2685364,0.5828675
bbdd_00256.pkl-bbdd_00196.pkl,0.04974708,0.5676687,126.90196,0.71616566,0.9175768
bbdd_00256.pkl-bbdd_00153.pkl,0.066424586,0.6370344,93.64472,0.68148273,0.920789
bbdd_00256.pkl-bbdd_00023.pkl,0.08036045,1.0089722,136.11536,0.49551398,0.82251954
bbdd_00256.pkl-bbdd_00111.pkl,0.07589577,0.9325793,134.54025,0.53371036,0.83770216
bbdd_00256.pkl-bbdd_00043.pkl,0.07013334,0.8788184,137.5491,0.5605908,0.8757699
bbdd_00256.pkl-bbdd_00096.pkl,0.061301988,0.74240196,104.00341,0.628799,0.9098308
bbdd_00256.pkl-bbdd_00093.pkl,0.05559801,0.62999195,114.377594,0.685004,0.9116913
bbdd_00256.pkl-bbdd_00025.pkl,0.08914043,1.08576,144.36069,0.45711997,0.79017776
bbdd_00256.pkl-bbdd_00233.pkl,0.049099173,0.5849069,121.05601,0.70754653,0.9298226
bbdd_00256.pkl-bbdd_00087.pkl,0.09562526,1.068099,147.85524,0.46595046,0.7869685
bbdd_00256.pkl-bbdd_00206.pkl,0.101763666,1.255242,165.80846,0.372379,0.72841245
bbdd_00256.pkl-bbdd_00283.pkl,0.11565343,1.3353794,167.3341,0.33231026,0.68461144
bbdd_00256.pkl-bbdd_00098.pkl,0.0784624,0.9922961,170.04704,0.5038519,0.805745
bbdd_00256.pkl-bbdd_00139.pkl,0.10476605,0.88846123,135.53008,0.5557694,0.84334147
bbdd_00256.pkl-bbdd_00157.pkl,0.06763167,0.67235076,119.83861,0.66382456,0.9203131
bbdd_00256.pkl-bbdd_00122.pkl,0.06185549,0.7245123,90.76813,0.6377439,0.9022015
bbdd_00256.pkl-bbdd_00141.pkl,0.119363405,1.2773615,156.66853,0.36131924,0.715481
bbdd_00256.pkl-bbdd_00055.pkl,0.085880205,0.8848225,132.14964,0.5575888,0.79212314
bbdd_00256.pkl-bbdd_00229.pkl,0.10840198,1.1876061,151.81795,0.40619695,0.7588284
bbdd_00256.pkl-bbdd_00012.pkl,0.076733746,0.95355266,131.47678,0.5232237,0.83972406
bbdd_00256.pkl-bbdd_00257.pkl,0.07569793,0.8144264,131.0491,0.5927868,0.8577341
bbdd_00256.pkl-bbdd_00159.pkl,0.13769005,1.3322289,156.38788,0.33388555,0.6228243
bbdd_00256.pkl-bbdd_00060.pkl,0.08322617,1.0027318,135.93207,0.49863407,0.82635903
bbdd_00256.pkl-bbdd_00005.pkl,0.1190011,1.5120752,191.05214,0.24396244,0.6142908
bbdd_00256.pkl-bbdd_00185.pkl,0.06931956,0.65755796,98.91237,0.6712211,0.92697775
bbdd_00256.pkl-bbdd_00169.pkl,0.059961382,0.6314482,85.748535,0.6842759,0.9086331
bbdd_00256.pkl-bbdd_00222.pkl,0.10704964,1.1776296,161.12917,0.4111852,0.7710593
bbdd_00256.pkl-bbdd_00180.pkl,0.08349926,0.90333986,160.82617,0.54833007,0.84911793
bbdd_00256.pkl-bbdd_00133.pkl,0.0679554,0.6885737,119.3732,0.65571314,0.9061466
bbdd_00256.pkl-bbdd_00203.pkl,0.05026906,0.53104585,109.57872,0.73447704,0.9366397
bbdd_00256.pkl-bbdd_00147.pkl,0.096134715,1.2379744,153.25543,0.38101286,0.7316741
bbdd_00256.pkl-bbdd_00063.pkl,0.05692335,0.6778489,117.99567,0.6610756,0.89273
bbdd_00256.pkl-bbdd_00068.pkl,0.10845067,1.4088631,185.50504,0.29556847,0.6737807
bbdd_00256.pkl-bbdd_00176.pkl,0.09118858,1.0716645,141.90257,0.46416777,0.7312917
bbdd_00256.pkl-bbdd_00120.pkl,0.14118285,1.4056857,138.48813,0.2971572,0.6671311
bbdd_00256.pkl-bbdd_00184.pkl,0.12631096,1.3968534,182.61958,0.30157328,0.60931915
bbdd_00256.pkl-bbdd_00042.pkl,0.09799393,1.280492,171.80382,0.35975406,0.7262189
bbdd_00256.pkl-bbdd_00266.pkl,0.087912105,0.9616443,149.64673,0.51917785,0.78301096
bbdd_00256.pkl-bbdd_00097.pkl,0.1518701,1.5887425,184.38466,0.20562874,0.49274004
bbdd_00256.pkl-bbdd_00251.pkl,0.10396506,1.2997692,170.05649,0.35011536,0.710124
bbdd_00256.pkl-bbdd_00044.pkl,0.13110143,1.1874504,137.87791,0.40627474,0.7282804
bbdd_00256.pkl-bbdd_00083.pkl,0.10639125,1.1740576,151.32068,0.4129712,0.6907341
bbdd_00256.pkl-bbdd_00132.pkl,0.075677365,0.87221,125.7394,0.563895,0.8429985
bbdd_00256.pkl-bbdd_00250.pkl,0.14256038,1.6742241,195.85745,0.16288796,0.4062516
bbdd_00256.pkl-bbdd_00104.pkl,0.066076376,0.74347866,113.83209,0.6282606,0.8897886
bbdd_00256.pkl-bbdd_00211.pkl,0.08509556,1.0635109,153.1111,0.4682445,0.8184426
bbdd_00256.pkl-bbdd_00214.pkl,0.075635515,0.8989024,144.546,0.5505488,0.8316896
bbdd_00256.pkl-bbdd_00015.pkl,0.07425342,0.7636594,137.3393,0.61817026,0.87988913
bbdd_00256.pkl-bbdd_00195.pkl,0.068257205,0.8346627,123.13478,0.58266866,0.87873
bbdd_00256.pkl-bbdd_00243.pkl,0.08476505,0.9935188,137.15936,0.5032406,0.82924294
